City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Berlevag,NO,70.8578,29.0864,32.0,69,75,9.22,broken clouds
193,Rocha,UY,-34.4833,-54.3333,63.54,73,81,14.03,broken clouds
194,Houma,US,29.5958,-90.7195,79.0,50,1,5.75,clear sky
195,Cabinda,AO,-5.55,12.2,79.3,84,18,5.48,few clouds
196,Rolla,US,37.9514,-91.7713,72.0,45,1,3.44,clear sky
197,Bintulu,MY,3.1667,113.0333,77.0,100,20,3.44,few clouds
198,Lashio,MM,22.9333,97.75,74.39,44,56,1.68,broken clouds
199,Bridgewater,CA,44.3835,-64.5155,51.01,100,100,9.22,light rain
200,Kindu,CD,-2.95,25.95,69.21,94,82,2.82,broken clouds
201,Kavaratti,IN,10.5669,72.642,84.06,72,1,8.37,clear sky
202,Ekpoma,NG,6.7421,6.139,76.55,77,91,4.07,overcast clouds
203,Guiberoua,CI,6.2392,-6.1727,75.4,88,100,2.17,overcast clouds
204,Asadabad,IR,34.7824,48.1185,62.08,34,32,2.89,scattered clouds
205,San,ML,13.3034,-4.8956,98.56,15,56,5.21,broken clouds
206,Galbshtadt,RU,53.2264,78.9845,44.24,48,100,9.37,overcast clouds
207,Yar-Sale,RU,66.8333,70.8333,33.06,92,100,11.97,overcast clouds
208,Cidreira,BR,-30.1811,-50.2056,70.0,69,83,14.12,broken clouds
209,Fujin,CN,47.26,132.0322,36.57,40,11,5.88,few clouds
210,Waddan,LY,29.1614,16.139,68.2,44,1,10.0,clear sky
211,Cedar City,US,37.6775,-113.0619,66.2,15,1,39.12,clear sky
212,Siavonga,ZM,-16.5382,28.7088,75.83,60,27,2.68,scattered clouds
213,Concarneau,FR,47.875,-3.9225,53.6,66,0,16.11,clear sky
214,Notodden,NO,59.5594,9.2585,39.99,47,15,1.99,few clouds
215,Urumqi,CN,43.801,87.6005,41.0,33,0,6.71,clear sky
216,Hualmay,PE,-11.0964,-77.6139,71.37,75,15,7.92,few clouds
217,Lebu,CL,-37.6167,-73.65,59.59,77,0,12.62,clear sky
218,Sao Filipe,CV,14.8961,-24.4956,72.59,71,62,10.58,broken clouds
219,Port Macquarie,AU,-31.4333,152.9167,55.0,96,9,4.0,clear sky
220,Salalah,OM,17.0151,54.0924,84.2,70,75,8.05,broken clouds
221,Nouadhibou,MR,20.931,-17.0347,66.2,82,0,16.11,clear sky
222,Mareeba,AU,-17.0,145.4333,75.2,94,75,10.36,drizzle
223,Poum,NC,-20.2333,164.0167,76.82,78,98,18.3,overcast clouds
224,Dali,CN,25.7,100.1833,56.19,48,0,4.97,clear sky
225,Panji,ID,-7.7253,114.0995,73.94,81,76,4.38,broken clouds
226,Hithadhoo,MV,-0.6,73.0833,82.56,68,99,4.52,overcast clouds
227,Nantucket,US,41.2835,-70.0995,48.2,93,90,25.32,heavy intensity rain
228,Norman Wells,CA,65.282,-126.8329,37.4,38,20,14.97,few clouds
229,Whitehorse,CA,60.7161,-135.0538,50.0,27,1,4.61,clear sky
230,Victoria,HK,22.2855,114.1577,73.0,86,100,19.82,overcast clouds
231,Vilyuysk,RU,63.7553,121.6247,32.9,98,100,4.94,overcast clouds
232,Tiksi,RU,71.6872,128.8694,22.96,96,100,1.72,light snow
233,Nerchinskiy Zavod,RU,51.3088,119.61,41.47,34,100,3.33,overcast clouds
234,Xichang,CN,27.8964,102.2634,58.5,68,88,4.16,overcast clouds
235,Codrington,AU,-38.2667,141.9667,53.62,84,100,4.92,overcast clouds
236,Fort Saint James,CA,54.4333,-124.25,50.02,26,2,5.12,clear sky
237,Prieska,ZA,-29.6641,22.7474,72.7,20,100,5.66,overcast clouds
238,Nortelandia,BR,-14.4547,-56.8028,78.46,80,100,8.08,light rain
239,Salama,HN,14.8333,-86.5833,91.4,46,40,6.91,scattered clouds
240,Iqaluit,CA,63.7506,-68.5145,33.8,80,90,3.44,overcast clouds
241,Ixtapa,MX,20.7,-105.2,82.4,65,75,14.97,broken clouds
242,Isangel,VU,-19.55,169.2667,76.28,87,100,11.41,overcast clouds
243,Amga,RU,60.8953,131.9608,29.01,99,100,2.82,overcast clouds
244,Moura,PT,38.1401,-7.4486,60.8,82,40,5.75,scattered clouds
245,Deer Lake,CA,49.1667,-57.4316,50.0,40,20,14.97,few clouds
246,Port Hardy,CA,50.6996,-127.4199,50.0,93,90,8.05,light rain
247,Srednekolymsk,RU,67.45,153.6833,9.68,89,34,5.19,scattered clouds
248,Pahalgam,IN,34.0333,75.3333,37.53,50,6,11.05,clear sky
249,Sawakin,SD,19.1059,37.3321,83.17,77,9,2.3,clear sky
250,Novodugino,RU,55.6305,34.2842,31.91,80,12,11.12,few clouds
251,Ilebo,CD,-4.3167,20.5833,71.96,97,85,1.77,overcast clouds
252,Puerto Escondido,MX,15.85,-97.0667,87.8,66,40,9.22,scattered clouds
253,Nanortalik,GL,60.1432,-45.2371,41.86,75,100,12.8,light rain
254,Filingue,NE,14.3521,3.3168,94.78,15,100,5.17,overcast clouds
255,Luderitz,NA,-26.6481,15.1594,62.31,90,97,3.78,overcast clouds
256,Yinchuan,CN,38.4681,106.2731,51.6,54,0,2.13,clear sky
257,Zbiroh,CZ,49.8602,13.7726,37.0,74,32,1.99,scattered clouds
258,Neyshabur,IR,36.2133,58.7958,68.04,27,9,5.66,clear sky
259,Dok Kham Tai,TH,19.1624,99.9934,75.63,82,99,1.01,light rain
260,Shingu,JP,33.7333,135.9833,43.02,64,0,8.34,clear sky
261,Guerrero Negro,MX,27.9769,-114.0611,67.95,55,98,13.71,overcast clouds
262,Katsuura,JP,35.1333,140.3,51.01,32,80,5.99,broken clouds
263,Bara,NG,10.3744,10.7288,87.69,37,99,7.36,overcast clouds
264,Muros,ES,42.7762,-9.0603,61.0,84,86,1.01,overcast clouds
265,Oktyabrskoye,RU,43.0645,44.7417,48.2,93,100,4.47,overcast clouds
266,Tual,ID,-5.6667,132.75,83.39,63,100,6.2,overcast clouds
267,Mahajanga,MG,-15.7167,46.3167,78.8,83,20,4.61,few clouds
268,Tulum,MX,20.2167,-87.4667,87.8,62,40,10.36,scattered clouds
269,Tagusao,PH,9.1924,117.8141,79.41,79,79,1.41,broken clouds
270,Chunskiy,RU,56.0815,99.6342,30.49,97,76,7.99,light snow
271,Pilar,BR,-9.5972,-35.9567,80.6,74,0,8.05,clear sky
272,Yakeshi,CN,49.2833,120.7333,43.38,46,100,6.6,overcast clouds
273,Coquimbo,CL,-29.9533,-71.3436,62.6,72,0,11.5,clear sky
274,Loukhi,RU,66.0764,33.0381,34.07,85,100,12.39,overcast clouds
275,Kolondieba,ML,11.0882,-6.8926,93.6,24,88,1.63,overcast clouds
276,Tabou,CI,4.423,-7.3528,79.34,82,100,6.08,overcast clouds
277,Muhos,FI,64.808,25.9931,37.4,70,90,11.5,overcast clouds
278,Port Blair,IN,11.6667,92.75,81.55,74,98,4.97,overcast clouds
279,Bambous Virieux,MU,-20.3428,57.7575,78.01,94,75,12.66,light rain
280,Margate,GB,51.3813,1.3862,48.0,64,40,4.0,scattered clouds
281,Samarai,PG,-10.6167,150.6667,82.47,78,94,12.01,overcast clouds
282,Siderno,IT,38.2779,16.302,57.99,62,24,6.91,few clouds
283,Hayden,US,47.766,-116.7866,48.99,71,90,13.8,light rain
284,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,40,20.71,light rain
285,Hasaki,JP,35.7333,140.8333,46.4,42,20,14.97,few clouds
286,Kavieng,PG,-2.5744,150.7967,81.39,76,100,3.09,light rain
287,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,40,20.71,scattered clouds
288,Nome,US,64.5011,-165.4064,44.6,65,40,4.94,scattered clouds
289,Quang Ngai,VN,15.1167,108.8,75.56,91,97,3.24,overcast clouds
290,Las Vegas,US,36.175,-115.1372,79.0,9,1,23.02,clear sky
291,Yaan,NG,7.3833,8.5667,82.8,66,90,4.81,overcast clouds
292,Sukumo,JP,32.9333,132.7333,47.25,83,13,3.24,few clouds
293,Vardo,NO,70.3705,31.1107,33.8,69,20,13.8,few clouds
294,Klaksvik,FO,62.2266,-6.589,46.4,93,100,11.5,overcast clouds
295,Takoradi,GH,4.8845,-1.7554,81.34,82,79,6.93,broken clouds
296,Sisimiut,GL,66.9395,-53.6735,41.23,72,97,3.65,overcast clouds
297,Belyy Yar,RU,53.6039,91.3903,35.6,64,0,6.71,clear sky
298,Santa Adelia,BR,-21.2428,-48.8042,82.99,28,27,5.88,scattered clouds
299,Ugoofaaru,MV,5.6667,73.0,83.35,72,4,5.28,clear sky
300,Det Udom,TH,14.906,105.0784,80.6,89,40,5.32,scattered clouds
301,Rudraprayag,IN,30.2833,78.9833,65.32,42,0,5.01,clear sky
302,Batticaloa,LK,7.7102,81.6924,79.21,73,48,6.46,scattered clouds
303,Klyuchi,RU,52.2667,79.1667,44.89,45,100,11.16,overcast clouds
304,Kupang,ID,-10.1667,123.5833,73.74,73,59,7.78,broken clouds
305,Rostock,DE,54.0887,12.1405,42.01,52,40,5.75,scattered clouds
306,Dandong,CN,40.1292,124.3947,50.54,36,100,3.8,overcast clouds
307,Abapo,BO,-18.8333,-63.4667,73.76,42,100,2.15,overcast clouds
308,Lavrentiya,RU,65.5833,-171.0,28.38,83,97,1.48,overcast clouds
309,Broome,US,42.2506,-75.833,57.0,60,96,7.0,overcast clouds
310,Mosquera,CO,4.7059,-74.2302,66.2,63,75,8.05,broken clouds
311,Pangody,RU,65.85,74.4859,31.78,90,100,10.38,overcast clouds
